score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.628125,39.635807,160.0,2,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.62777776,42.605343,120.0,2,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5890625,34.17461,160.0,2,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.52916664,42.234573,120.0,3,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.625,33.91505,120.0,3,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.571875,39.340885,160.0,3,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.49375,46.202763,160.0,3,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.57734376,36.29962,160.0,3,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.86388886,36.563244,120.0,4,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.85816324,79.4825,140.0,4,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.978125,84.08009,160.0,4,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.9484375,98.17167,160.0,4,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.8773438,77.9053,160.0,4,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.54583335,33.655907,120.0,5,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.47142857,33.7324,140.0,5,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6976563,46.664318,160.0,5,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5992187,34.145153,160.0,5,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.56953126,34.611145,160.0,5,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.59583336,37.461628,120.0,6,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.48333332,40.301105,120.0,6,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5734375,36.663303,160.0,6,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6375,49.49865,160.0,6,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.52734375,37.40605,160.0,6,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.62777776,33.442932,120.0,7,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.49444443,41.766727,120.0,7,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.915625,43.622787,160.0,7,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.73125,35.492558,160.0,7,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.8875,78.09116,160.0,7,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.57421875,33.44456,160.0,8,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6041667,75.06883,120.0,8,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.93671876,59.739243,160.0,8,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.90546876,45.517433,160.0,8,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.98359376,106.26687,160.0,8,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.58055556,33.312534,120.0,9,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.56805557,47.897385,120.0,9,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.85859376,62.383823,160.0,9,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.840625,54.18679,160.0,9,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6585938,35.01753,160.0,9,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
